"ZICDCLASSIFICATIONID","SYMBOL","DESCRIPTION","STARTDATE","ENDDATE"
1,"icd08","ICD-8",1979-01-01,1978-12-31
2,"icd09","ICD-9",1920-01-01,1994-12-31
3,"icd10o2","ICD-10/O-2",1995-01-01,2008-12-31
4,"icd10o3","ICD-10/O-3",2008-01-01,2007-12-31
5,"icdo3","ICD-O-3",1920-01-01,2011-12-31
6,"icd07","ICD-7",1966-01-01,1967-12-31
7,"icd08pre1971","ICD-8pre1971",1968-01-01,1970-12-31
8,"icdo2","ICD-O-2",1985-01-01,2008-12-31
9,"icdo1","ICD-O",1976-01-01,1994-12-31
10,"icdo3rev2011","ICD-O-3 (2011)",2012-01-01,2016-04-03
11,"icd10rev4o2","ICD-10rev4/O-2",1979-01-01,1978-12-31
12,"motnac","MOTNAC",1968-01-01,1984-12-31
14,"snomedotcr","SNOMED/O(TCR)",1950-01-01,2013-07-31
15,"snomedo1","SNOMED/O-1",1950-01-01,2013-07-31
16,"snomedo2","SNOMED/O-2",1950-01-01,2013-07-31
17,"snomedo3","SNOMED/O-3",1950-01-01,2013-07-31
18,"icd10bpa","ICD-10 BPA",1979-01-01,1978-12-31
19,"icdo3rev2016","ICD-O-3 (2016)",2016-04-04,2020-12-31
20,"icd10rev5o2","ICD-10rev5/O-2",1979-01-01,1978-12-31
