"ZSTAGEID","SHORTDESC","DESCRIPTION","EXPORTID","STARTDATE","ENDDATE","SORT"
"0","0","","0",,,2
"0A","","","0A",,,3
"0IS","","","0IS",,,4
"1","1","","1",,,5
"1A","","","1A",,,7
"1A1","","","1A1",,,9
"1A2","","","1A2",,,11
"1B","","","1B",,,13
"1B1","","","1B1",,,15
"1B2","","","1B2",,,17
"1C","","","1C",,,19
"1E","","","1E",,,21
"1S","","","1S",,,22
"2","2","","2",,,23
"2A","","","2A",,,24
"2A1","","","2A1",,,25
"2A2","","","2A2",,,26
"2B","","","2B",,,27
"2C","","","2C",,,29
"2E","","","2E",,,31
"2S","","","2S",,,32
"3","3","","3",,,33
"3A","","","3A",,,35
"3B","","","3B",,,37
"3C","","","3C",,,39
"3E","","","3E",,,41
"3S","","","3S",,,42
"4","4","","4",,,43
"4A","","","4A",,,45
"4B","","","4B",,,47
"4C","","","4C",,,49
"4S","","","4S",,,50
"5","5","Outdated or invalid code 5","5",,,-1
"6","6 NOT STAGEABLE","","6",,,55
"?","INSUFFICIENT INFO","","?",,,51
"U","UNSTAGEABLE","","U",,,53
"X","X NOT STAGED","","X",,,57
